"id","user_id","post_id","user_comment","created_at","comment_image"
"131","120","162","Әр апта жасаймыз","2025-05-03 16:17:07",NULL
"132","121","164","Дұрыс айтасын,Дана.Толықтай келісемін.","2025-05-03 16:35:05",NULL
